year,country,co2,yr_avg_temp_f,yr_avg_temp_c,yr_avg_temp_uncertainty
1819,GERMANY,894,47.4554,8.586333333333332,2.6985833333333336
1819,POLAND,207,46.1027,7.834833333333332,2.661583333333333
1819,UNITED KINGDOM,11555,47.04140000000001,8.356333333333332,2.6823333333333332
1819,UNITED STATES,208,27.0056,-2.774666666666667,3.543
1820,AUSTRIA,91,42.0797,5.599833333333333,2.649833333333334
1820,CANADA,1,20.891,-6.171666666666668,3.3512500000000007
1820,FRANCE,792,53.796200000000006,12.109000000000002,2.6285833333333333
1820,GERMANY,923,44.92175,7.17875,2.637666666666667
1820,POLAND,204,44.0555,6.697500000000002,2.766916666666667
1820,UNITED KINGDOM,11607,46.09475,7.830416666666667,2.5296666666666665
1820,UNITED STATES,216,45.61490000000001,7.563833333333332,2.2910833333333342
1821,AUSTRIA,98,42.93155,6.073083333333333,2.4565
1821,CANADA,1,21.9914,-5.5603333333333325,3.246583333333333
1821,FRANCE,822,55.16045,12.866916666666668,2.465666666666667
1821,GERMANY,964,46.78805,8.215583333333333,2.564583333333333
1821,POLAND,226,45.48425,7.491250000000001,2.54325
1821,UNITED KINGDOM,11701,47.64905,8.693916666666668,2.47975
1821,UNITED STATES,226,46.40735000000001,8.004083333333334,2.53275
1822,AUSTRIA,100,45.37115,7.428416666666667,2.13775
1822,CANADA,1,21.5237,-5.820166666666665,3.0563333333333333
1822,FRANCE,865,56.37260000000001,13.540333333333335,2.1631666666666667
1822,GERMANY,991,48.8276,9.348666666666666,2.1951666666666667
1822,POLAND,248,47.5103,8.616833333333334,2.193833333333333
1822,UNITED KINGDOM,12151,48.4334,9.129666666666667,2.036833333333333
1822,UNITED STATES,236,47.09630000000001,8.386833333333334,2.2399166666666672
1823,AUSTRIA,95,42.4769,5.8205,2.3808333333333334
1823,CANADA,1,20.61785,-6.323416666666668,2.9620833333333327
1823,FRANCE,865,54.13955000000001,12.29975,2.292250000000001
1823,GERMANY,1101,45.6722,7.595666666666667,2.2735833333333333
1823,POLAND,333,44.91694999999999,7.176083333333334,2.413083333333333
1823,UNITED KINGDOM,12793,46.03115,7.7950833333333325,2.223333333333333
1823,UNITED STATES,246,46.2398,7.911,2.3275
1824,AUSTRIA,109,43.74785,6.526583333333334,2.44125
1824,CANADA,1,22.691150000000004,-5.171583333333332,2.9591666666666665
1824,FRANCE,960,55.09970000000001,12.833166666666665,2.4696666666666665
1824,GERMANY,882,47.41835,8.565750000000001,2.448833333333333
1824,POLAND,348,46.90535,8.280749999999998,2.56075
1824,UNITED KINGDOM,13396,47.476850000000006,8.598249999999998,2.597
1824,UNITED STATES,277,47.30405,8.50225,2.5085
1825,AUSTRIA,110,43.81685000000001,6.564916666666668,2.298083333333333
1825,CANADA,1,22.7273,-5.151500000000001,3.0155833333333337
1825,FRANCE,1080,55.63535,13.130749999999995,2.26625
1825,GERMANY,1184,47.68055,8.711416666666667,2.2411666666666665
1825,POLAND,362,45.9821,7.767833333333333,2.363833333333333
1825,UNITED KINGDOM,13535,48.1058,8.947666666666663,2.2081666666666666
1825,UNITED STATES,310,48.1397,8.966500000000002,2.3389166666666665
1826,AUSTRIA,125,43.29785,6.276583333333333,2.204833333333333
1826,CANADA,1,22.7021,-5.1655000000000015,2.8027500000000014
1826,FRANCE,1116,55.09475000000001,12.830416666666665,2.2332500000000004
1826,GERMANY,1143,47.39195,8.551083333333334,2.154666666666667
1826,POLAND,333,46.09475,7.830416666666667,2.187583333333333
1826,UNITED KINGDOM,13686,48.42589999999999,9.1255,2.459833333333333
1826,UNITED STATES,359,47.44219999999999,8.578999999999999,2.3249166666666663
1827,AUSTRIA,130,43.3286,6.293666666666666,2.1970000000000005
1827,CANADA,1,23.637650000000004,-4.64575,2.80975
1827,FRANCE,1613,54.73775,12.632083333333336,2.357666666666667
1827,GERMANY,1239,46.67285,8.151583333333333,2.1666666666666665
1827,POLAND,357,46.11965,7.844249999999999,2.230166666666667
1827,UNITED KINGDOM,14255,47.28245,8.490249999999998,2.31325
1827,UNITED STATES,395,48.3836,9.102,2.4029166666666666
1828,AUSTRIA,125,43.429550000000006,6.34975,2.4273333333333342
1828,CANADA,1,22.8257,-5.0968333333333335,2.560083333333333
1828,FRANCE,1704,55.8356,13.242,2.38875
1828,GERMANY,1239,47.13995,8.411083333333334,2.3411666666666666
1828,POLAND,330,44.7926,7.106999999999998,2.4558333333333326
1828,UNITED KINGDOM,14353,48.40025,9.11125,2.45075
1828,UNITED STATES,435,47.9273,8.8485,2.05525
1829,AUSTRIA,130,39.63215,4.240083333333333,2.7149166666666678
1829,CANADA,1,21.57005,-5.794416666666668,2.64175
1829,FRANCE,1658,52.8203,11.566833333333333,2.6591666666666667
1829,GERMANY,991,42.629,5.905,2.7255
1829,NORWAY,3,30.31865,-0.9340833333333329,3.0267500000000003
1829,POLAND,291,41.06555,5.036416666666666,2.729416666666667
1829,UNITED KINGDOM,14557,45.28205,7.378916666666666,2.759583333333333
1829,UNITED STATES,490,47.10065,8.389249999999999,2.092416666666667
1830,AUSTRIA,135,42.07145,5.59525,2.382416666666667
