year,country,co2,avg_yly_tmp_f,avg_yly_tmp_c,avg_yly_tmp_uncertainty
1832,POLAND,282.0,43.44155,6.356416667,2.676333333
1832,SPAIN,1.0,55.9493,13.30516667,2.633666667
1832,UNITED KINGDOM,17901.0,47.201,8.445,2.629583333
1833,AUSTRIA,117.0,42.9098,6.061,2.121166667
1833,BELGIUM,1246.0,48.8504,9.361333333,2.126583333
1833,CANADA,1.0,22.553,-5.248333333,2.48925
1833,GERMANY,1195.0,46.6001,8.111166667,2.091416667
1833,HUNGARY,18.0,49.3688,9.649333333,2.176166667
1833,POLAND,293.0,45.5804,7.544666667,2.13025
1833,SPAIN,1.0,55.8365,13.2425,2.052666667
1833,UNITED KINGDOM,17875.0,47.06375,8.36875,2.107
1834,AUSTRIA,160.0,45.37415,7.430083333,2.20625
1834,BELGIUM,1203.0,51.40775,10.78208333,2.382
1834,CANADA,1.0,22.08665,-5.507416667,2.553
1834,GERMANY,1204.0,49.11995,9.511083333,2.223833333
1834,HUNGARY,19.0,51.52655,10.84808333,2.32475
1834,POLAND,308.0,47.70665,8.725916667,2.240083333
1834,SPAIN,1.0,57.5669,14.20383333,2.2455
1834,SWEDEN,9.0,37.121,2.845,2.237083333
1834,UNITED KINGDOM,17887.0,48.8732,9.374,2.335666667
1835,AUSTRIA,173.0,42.24455,5.691416667,1.750583333
1835,BELGIUM,1299.0,48.8531,9.362833333,1.84875
1835,CANADA,1.0,20.438,-6.423333333,2.48
1835,GERMANY,1346.0,46.32575,7.95875,1.779916667
1835,HUNGARY,14.0,48.479,9.155,1.878583333
1835,NORWAY,4.0,31.12145,-0.488083333,2.111583333
1835,POLAND,330.0,44.83895,7.13275,1.792333333
1835,SPAIN,1.0,55.5848,13.10266667,1.7695
1835,UNITED KINGDOM,17812.0,47.08475,8.380416667,1.882166667
1836,AUSTRIA,184.0,43.1465,6.1925,1.979083333
1836,BELGIUM,1528.0,49.03865,9.465916667,2.1095
1836,CANADA,1.0,21.07745,-6.068083333,2.5355
1836,GERMANY,1417.0,46.55015,8.083416667,1.981083333
1836,HUNGARY,23.0,49.77785,9.876583333,2.151666667
1836,NORWAY,5.0,30.01565,-1.102416667,2.30625
1836,POLAND,374.0,45.6395,7.5775,2.049833333
1836,SPAIN,6.0,55.83665,13.24258333,2.170916667
1836,UNITED KINGDOM,20864.0,46.1444,7.858,2.093416667
1837,AUSTRIA,193.0,41.3738,5.207666667,2.010583333
1837,BELGIUM,1637.0,47.8247,8.7915,2.165583333
1837,CANADA,1.0,21.15005,-6.02775,2.504916667
1837,GERMANY,1624.0,45.1451,7.302833333,2.0405
1837,HUNGARY,19.0,47.43995,8.57775,2.118333333
1837,NORWAY,7.0,30.95045,-0.583083333,2.317
1837,POLAND,402.0,43.84355,6.57975,2.075833333
1837,SPAIN,10.0,55.8002,13.22233333,2.12825
1837,UNITED KINGDOM,20134.0,46.1558,7.864333333,2.0905
1838,AUSTRIA,232.0,40.48805,4.715583333,2.327583333
1838,BELGIUM,1671.0,46.613,8.118333333,2.4295
1838,CANADA,1.0,20.78195,-6.23225,2.416916667
1838,GERMANY,1810.0,43.61135,6.45075,2.3435
1838,HUNGARY,17.0,46.7108,8.172666667,2.449083333
1838,NORWAY,14.0,29.19275,-1.559583333,2.575083333
1838,POLAND,433.0,42.00845,5.56025,2.378166667
1838,SPAIN,7.0,56.1017,13.38983333,2.279333333
1838,UNITED KINGDOM,20691.0,44.912,7.173333333,2.426916667
1839,AUSTRIA,289.0,43.0013,6.111833333,1.771833333
1839,BELGIUM,1831.0,48.87725,9.37625,1.766166667
1839,CANADA,1.0,22.52855,-5.261916667,2.272416667
1839,GERMANY,1916.0,46.3433,7.9685,1.647083333
1839,HUNGARY,38.0,49.0682,9.482333333,1.835333333
1839,NORWAY,11.0,30.7118,-0.715666667,2.1665
1839,POLAND,459.0,44.6594,7.033,1.669666667
1839,SPAIN,13.0,55.95755,13.30975,1.8425
1839,SWEDEN,12.0,34.9913,1.661833333,1.924833333
1839,UNITED KINGDOM,21228.0,46.1546,7.863666667,1.816166667
1840,AUSTRIA,319.0,40.8854,4.936333333,1.929416667
1840,BELGIUM,2109.0,47.477,8.598333333,1.867
1840,CANADA,1.0,21.82565,-5.652416667,2.288
1840,GERMANY,2504.0,44.6456,7.025333333,1.781666667
